
ZCZC MIAPWSAT5 ALL                                                  
TTAA00 KNHC DDHHMM                                                  
                                                                    
TROPICAL STORM ELSA WIND SPEED PROBABILITIES NUMBER  24             
NWS NATIONAL HURRICANE CENTER MIAMI FL       AL052021               
0900 UTC TUE JUL 06 2021                                            
                                                                    
AT 0900Z THE CENTER OF TROPICAL STORM ELSA WAS LOCATED NEAR LATITUDE
24.1 NORTH...LONGITUDE 82.4 WEST WITH MAXIMUM SUSTAINED WINDS NEAR  
50 KTS...60 MPH...95 KM/H.                                          
                                                                    
Z INDICATES COORDINATED UNIVERSAL TIME (GREENWICH)                  
   ATLANTIC STANDARD TIME (AST)...SUBTRACT 4 HOURS FROM Z TIME      
   EASTERN  DAYLIGHT TIME (EDT)...SUBTRACT 4 HOURS FROM Z TIME      
   CENTRAL  DAYLIGHT TIME (CDT)...SUBTRACT 5 HOURS FROM Z TIME      
                                                                    
WIND SPEED PROBABILITY TABLE FOR SPECIFIC LOCATIONS                 
                                                                    
CHANCES OF SUSTAINED (1-MINUTE AVERAGE) WIND SPEEDS OF AT LEAST     
   ...34 KT (39 MPH... 63 KM/H)...                                  
   ...50 KT (58 MPH... 93 KM/H)...                                  
   ...64 KT (74 MPH...119 KM/H)...                                  
FOR LOCATIONS AND TIME PERIODS DURING THE NEXT 5 DAYS               
                                                                    
PROBABILITIES FOR LOCATIONS ARE GIVEN AS OP(CP) WHERE               
    OP  IS THE PROBABILITY OF THE EVENT BEGINNING DURING            
        AN INDIVIDUAL TIME PERIOD (ONSET PROBABILITY)               
   (CP) IS THE PROBABILITY OF THE EVENT OCCURRING BETWEEN           
        06Z TUE AND THE FORECAST HOUR (CUMULATIVE PROBABILITY)      
                                                                    
PROBABILITIES ARE GIVEN IN PERCENT                                  
X INDICATES PROBABILITIES LESS THAN 1 PERCENT                       
PROBABILITIES FOR 34 KT AND 50 KT ARE SHOWN AT A GIVEN LOCATION WHEN
THE 5-DAY CUMULATIVE PROBABILITY IS AT LEAST 3 PERCENT.             
PROBABILITIES FOR 34...50...64 KT SHOWN WHEN THE 5-DAY              
64-KT CUMULATIVE PROBABILITY IS AT LEAST 1 PERCENT.                 
                                                                    
                                                                    
  - - - - WIND SPEED PROBABILITIES FOR SELECTED LOCATIONS - - - -   
                                                                    
               FROM    FROM    FROM    FROM    FROM    FROM    FROM 
  TIME       06Z TUE 18Z TUE 06Z WED 18Z WED 06Z THU 06Z FRI 06Z SAT
PERIODS         TO      TO      TO      TO      TO      TO      TO  
             18Z TUE 06Z WED 18Z WED 06Z THU 06Z FRI 06Z SAT 06Z SUN
                                                                    
FORECAST HOUR    (12)   (24)    (36)    (48)    (72)    (96)   (120)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
LOCATION       KT                                                   
                                                                    
CAPE RACE NFLD 34  X   X( X)   X( X)   X( X)   X( X)   X( X)   3( 3)
 
ILE ST PIERRE  34  X   X( X)   X( X)   X( X)   X( X)   1( 1)   6( 7)
 
BURGEO NFLD    34  X   X( X)   X( X)   X( X)   X( X)   2( 2)   9(11)
 
PTX BASQUES    34  X   X( X)   X( X)   X( X)   X( X)   4( 4)   8(12)
 
EDDY POINT NS  34  X   X( X)   X( X)   X( X)   X( X)   3( 3)   2( 5)
 
SYDNEY NS      34  X   X( X)   X( X)   X( X)   X( X)   6( 6)   5(11)
 
SABLE ISLAND   34  X   X( X)   X( X)   X( X)   X( X)   5( 5)   2( 7)
 
HALIFAX NS     34  X   X( X)   X( X)   X( X)   X( X)   7( 7)   1( 8)
 
YARMOUTH NS    34  X   X( X)   X( X)   X( X)   X( X)   8( 8)   1( 9)
 
MONCTON NB     34  X   X( X)   X( X)   X( X)   X( X)   4( 4)   X( 4)
 
ST JOHN NB     34  X   X( X)   X( X)   X( X)   X( X)   4( 4)   X( 4)
 
EASTPORT ME    34  X   X( X)   X( X)   X( X)   X( X)   5( 5)   1( 6)
 
BAR HARBOR ME  34  X   X( X)   X( X)   X( X)   X( X)   3( 3)   X( 3)
 
PORTSMOUTH NH  34  X   X( X)   X( X)   X( X)   X( X)   3( 3)   X( 3)
 
WORCESTER MA   34  X   X( X)   X( X)   X( X)   X( X)   3( 3)   X( 3)
 
SPRINGFIELD MA 34  X   X( X)   X( X)   X( X)   X( X)   3( 3)   X( 3)
 
BOSTON MA      34  X   X( X)   X( X)   X( X)   X( X)   4( 4)   X( 4)
 
HYANNIS MA     34  X   X( X)   X( X)   X( X)   X( X)   5( 5)   X( 5)
 
NANTUCKET MA   34  X   X( X)   X( X)   X( X)   1( 1)  11(12)   X(12)
 
PROVIDENCE RI  34  X   X( X)   X( X)   X( X)   1( 1)   6( 7)   X( 7)
 
BRIDGEPORT CT  34  X   X( X)   X( X)   X( X)   1( 1)   2( 3)   X( 3)
 
NEW HAVEN CT   34  X   X( X)   X( X)   X( X)   1( 1)   3( 4)   X( 4)
 
HARTFORD CT    34  X   X( X)   X( X)   X( X)   1( 1)   2( 3)   X( 3)
 
NEW LONDON CT  34  X   X( X)   X( X)   X( X)   1( 1)   3( 4)   X( 4)
 
MONTAUK POINT  34  X   X( X)   X( X)   X( X)   1( 1)   7( 8)   X( 8)
 
ISLIP NY       34  X   X( X)   X( X)   X( X)   1( 1)   3( 4)   X( 4)
 
NYC JFK AIRPRT 34  X   X( X)   X( X)   X( X)   2( 2)   2( 4)   X( 4)
 
NWS EARLE NJ   34  X   X( X)   X( X)   X( X)   2( 2)   1( 3)   X( 3)
 
PHILADELPHIA   34  X   X( X)   X( X)   X( X)   2( 2)   1( 3)   X( 3)
 
ATLANTIC CITY  34  X   X( X)   X( X)   X( X)   3( 3)   1( 4)   X( 4)
 
BALTIMORE MD   34  X   X( X)   X( X)   X( X)   3( 3)   X( 3)   X( 3)
 
DOVER DE       34  X   X( X)   X( X)   X( X)   5( 5)   X( 5)   X( 5)
 
ANNAPOLIS MD   34  X   X( X)   X( X)   X( X)   3( 3)   X( 3)   X( 3)
 
